id;parent_id;name;code;description;type;is_etalon
1;;Автор;;ФИО автора документа;2;
2;;Место события;;Место события документа;2;
3;;Язык;;Язык документа;;
4;3;Русский;;Язык документа: Русский;;
5;3;Английский;;Язык документа: Английский;;
6;3;Французский;;Язык документа: Французский;;
7;3;Немецкий;;Язык документа: Немецкий;;
8;;ЕКДИ АФ РФ;;Единый классификатор документной информации архивного фонда РФ;;
9;8;ГОСУДАРСТВЕННОЕ УСТРОЙСТВО;01.00.00.00;;;1
10;9;Общие вопросы;01.01.00.00;;;1
11;10;Государственная территория;01.01.01.00;;;1
12;11;Суша;01.01.01.01;;;1
13;11;Внутренние воды;01.01.01.02;;;1
14;11;Внутреннее море;01.01.01.03;;;1
15;11;Территориальные воды;01.01.01.04;;;1
16;11;Воздушное пространство;01.01.01.05;;;1
17;10;Границы;01.01.02.00;;;1
18;17;Государственные границы;01.01.02.01;(Установление, изменение, делимитация, демаркация границ) См.также - 04.04.04.03. Охрана государственных границ;;1
19;17;Административные границы;01.01.02.02;(Установление, изменение);;1
20;9;Основы конституционного строя, право, законодательство;01.02.00.00;"См.также - 02.00.00.00. Государственная власть; 04.00.00.00 Правосудие. Надзор за законностью. Безопасность и охрана правопорядка; 05.00.00.00. Международные отношения";;1
21;20;Основы конституционного строя;01.02.01.00;;;1
22;21;Конституционные проекты;01.02.01.01;;;1
23;21;Конституции;01.02.01.02;;;1
24;21;Уставы административно-территориальных единиц;01.02.01.03;;;1
25;20;Право;01.02.02.00;"См.также - 05.07.00.00. Международное право; 25.07.07.00. Юридические науки";;1
26;25;Общегосударственное право;01.02.02.01;;;1
27;8;ГОСУДАРСТВЕННАЯ ВЛАСТЬ И ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ;02.00.00.00;;;1
28;27;Общие вопросы;02.01.00.00;;;1
29;28;Законодательство в области государственной власти и государственного управления;02.01.01.00;;;1
30;29;Законодательство в области государственной власти;02.01.01.01;;;1
31;29;Законодательство в области государственного управления;02.01.01.02;;;1